,PR,NPC,POLY,EBR
125,58,12,2.2099137931034485,0.0
126,60,7,4.712228654124457,0.02265372168284785
127,71,9,1.974759202794661,0.0
128,55,12,2.5679953967826448,0.0
129,82,11,3.032679757419087,0.04893350062735258
130,60,12,3.7528187454597672,0.0
131,80,12,3.774969287137345,0.0
132,78,12,4.172171549659112,0.0
133,57,11,4.06335681905074,0.0
134,56,12,4.53264264388217,0.020547945205479423
135,63,12,4.990156581308106,0.0
136,48,10,2.1024582691000715,0.0
137,52,12,4.616749174917492,0.009756097560975618
138,50,11,2.7742788976233443,0.0
139,64,11,4.607485084861243,0.03389830508474578
140,60,9,3.5915249078704923,0.016393442622950838
141,39,9,3.628731343283582,0.0146520146520146
142,55,12,3.037669364575415,0.0
143,50,9,3.202033682872577,0.0
144,41,11,1.6931742793125462,0.0
145,45,9,3.754800550581245,0.0
146,55,11,2.86853655141084,0.0
147,63,12,5.309305730960783,0.012711864406779627
148,41,9,1.559556786703601,0.03950617283950619
149,70,11,3.351293794366842,0.0
150,57,10,5.176671964787872,0.0
151,44,12,3.190700038114598,0.00588235294117645
152,68,12,4.689799202596534,0.0
153,47,7,2.96875,0.0
154,48,12,2.5287846481876333,0.0
155,45,11,2.5898883009994123,0.0
156,34,12,1.7141310232809963,0.07499999999999996
157,62,11,2.6160292221744736,0.002525252525252486
158,43,12,3.319975636261656,0.0
159,29,9,2.175,0.0
160,38,7,1.9131886477462436,0.02083333333333337
161,48,12,2.84875406283857,0.0
162,45,12,1.8791708796764408,0.0
163,48,10,2.3665484371536243,0.010000000000000009
164,40,10,3.2916454350089728,0.0
165,34,12,1.7582417582417582,0.0
166,32,9,2.55166036825601,0.06944444444444442
167,43,9,2.797173847045511,0.0
168,37,9,2.4449300039422583,0.0
169,55,8,2.7822434059054006,0.0
170,41,8,2.0369027979136463,0.0
171,48,8,2.0508620329785012,0.0
172,48,9,3.4583086200079083,0.0
173,17,9,3.2521547253078853,0.0
174,19,12,2.0,0.0
175,51,8,2.4471580666009047,0.0031948881789137795
176,15,6,1.0,0.11199999999999999
177,43,12,3.029293509477312,0.0
178,48,8,3.956112852664577,0.0
179,36,10,3.875,0.0
180,52,11,3.0269320843091334,0.00591715976331364
181,41,9,2.284313725490196,0.0
182,50,12,2.372750624874506,0.010869565217391353
183,49,10,2.004712535344015,0.0
184,48,8,2.7544596012591813,0.006896551724137945
185,52,12,2.3053430327354825,0.021344717182497308
186,38,9,1.9973920130399347,0.007518796992481258
187,48,8,3.5049701789264414,0.10810810810810811
188,34,8,2.1553398058252426,0.0
189,33,8,3.752347009735744,0.0
190,39,8,2.550235430807803,0.0
191,24,7,2.0,0.0
192,60,9,3.049645390070922,0.0
193,55,11,3.187219071061644,0.0
194,54,7,2.028254418784673,0.0
195,46,8,2.170343793996094,0.0
196,49,12,2.6131608014464045,0.0
197,44,7,2.585366274158233,0.03389830508474578
198,47,9,2.2553380202694773,0.0
199,36,11,3.006508399470327,0.02564102564102566
200,29,12,3.5116742369909955,0.0357142857142857
201,46,10,2.751064230551893,0.0
202,55,10,2.5667001843472432,0.0031055900621117516
203,43,9,2.7215594045256704,0.024193548387096753
